> out what,-537.953,-552.298,Safe Email
I have a s,-1496.94,-1540.99,Safe Email
position a,-1525.28,-1670.78,Safe Email
ë÷îä �,-569.92,-654.902,Phishing Email
enron japa,-429.289,-491.917,Safe Email
don ' t gi,-417.29,-415.556,Phishing Email
Good ol do,-335.464,-355.044,Safe Email
california,-10946.5,-11626.5,Safe Email
this perfo,-1259.68,-1162.79,Phishing Email
a visit pr,-1894.25,-2049.2,Safe Email
URL: http:,-110.067,-109.643,Safe Email
Hello Bill,-3231.28,-3358.49,Safe Email
Hi All,I h,-1442.67,-1513.1,Safe Email
On Tue, 20,-735.932,-761.535,Safe Email
fw : scree,-1074.37,-1142.64,Safe Email
failure no,-1244.11,-1200.81,Phishing Email
all graphi,-914.571,-762.251,Phishing Email
 fork ,Fro,-4914.64,-4832.31,Phishing Email
a DOS boot,-533.451,-561.015,Safe Email
pure polit,-9041.81,-9622.42,Safe Email
[Guido, on,-1505.46,-1553.31,Safe Email
tmi95 - ad,-3047.86,-3475.11,Safe Email
re : credi,-2373.57,-2733.84,Safe Email
reply soon,-6588.09,-6478.51,Phishing Email
how to soa,-2166,-2171.29,Phishing Email
revised no,-202.831,-244.317,Safe Email
At 11:49 A,-2825.94,-2881.9,Safe Email
2nd flexib,-9070.78,-9958.84,Safe Email
Low-Cost T,-423.898,-408.066,Phishing Email
you like t,-6843.49,-6670.44,Phishing Email
looking fo,-270.657,-246.423,Phishing Email
>>>>> R ==,-602.792,-612.555,Safe Email
japan upda,-363.012,-403.036,Safe Email
The demogr,-6314.03,-6521.27,Safe Email
office xp ,-626.024,-653.509,Phishing Email
empty,-7.05286,-6.63094,Phishing Email
the cheapp,-643.577,-636.073,Phishing Email
wecol ' 98,-750.842,-842.192,Safe Email
syllabus f,-364.291,-381.614,Safe Email
URL: http:,-77.3603,-81.4535,Safe Email
empty,-7.05286,-6.63094,Phishing Email
charm conf,-1153.99,-1239.95,Safe Email
hpl nom fo,-74.1294,-107.138,Safe Email
add sennse,-432.544,-414.744,Phishing Email
Marc Perke,-914.174,-948.438,Safe Email
URL: http:,-261.126,-274.572,Safe Email
re : lng  ,-762.127,-1070.13,Safe Email
