Numero de palabras del corpus phishing: 58314
Palabra: a  Frec: 725
Palabra: aa  Frec: 50
Palabra: aaa  Frec: 10
Palabra: aaalzdx  Frec: 1
Palabra: aaaplusdirect  Frec: 1
Palabra: aaarghh  Frec: 1
Palabra: aaas  Frec: 1
Palabra: aaasash  Frec: 1
Palabra: aaaxvzdvjtngtszhjxzforaipzmknnhazxwqroubbbocjtxpkntpqfnlibzzlzwpwrucnpeeujonkszymkokdnlvbk  Frec: 1
Palabra: aadfaixsfsmqrhnpchzyzoclxmtilkbhcwg  Frec: 1
Palabra: aads  Frec: 6
Palabra: aafco  Frec: 1
Palabra: aag  Frec: 1
Palabra: aaghpdvvu  Frec: 1
Palabra: aagrra  Frec: 2
Palabra: aahxqymprrfheoewyuwpjjjlgztvgpavs  Frec: 1
Palabra: aak  Frec: 1
Palabra: aaks  Frec: 1
Palabra: aal  Frec: 2
Palabra: aall  Frec: 4
Palabra: aalman  Frec: 1
Palabra: aan  Frec: 3
Palabra: aangaande  Frec: 1
Palabra: aangekondigde  Frec: 3
Palabra: aannemers  Frec: 1
Palabra: aanspraak  Frec: 1
Palabra: aantal  Frec: 1
Palabra: aao  Frec: 4
Palabra: aaqkhe  Frec: 1
Palabra: aaqskzjrgabaqeblaesaad  Frec: 1
Palabra: aare  Frec: 1
Palabra: aaron  Frec: 4
Palabra: aas  Frec: 2
Palabra: aastrom  Frec: 1
Palabra: aasxc  Frec: 1
Palabra: aattacks  Frec: 1
Palabra: aauscewtaclfswjjndgsusygtwn  Frec: 1
Palabra: aawaaaaaaaaaaaamflopabkxglybalyyhzqldvubxxhzfaqkaakaaaaaaaaaaanssiafmljltnbkfubtiyxlzgyooddujccljmdukrxjdqsfvxumeiodkmvbikrwvpwponoycwjylozconvfdawzgncp  Frec: 1
Palabra: aawfcvwyfk  Frec: 3
Palabra: aawhnoaaaaaaaaagqaokcxlamsbksistxvaammspryulfzbwvebhhoksbkknhyuvltjdqogjprkhjzjcotwgogjprkmxuftbnadaaahjsuiuunhibrgzljynogaacmlizbuxlpziablaaaaaaaahiyjjzi  Frec: 1
